name,National ?,Type,Species,Height,Weight,Abilities,Local ?,Japanese,EV yield,Catch rate,Base Happiness,Base EXP,Growth Rate,Egg Groups,Gender,Egg cycles,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,defenses,evolution_moves,levelup_moves,egg_moves,tutor_moves,tm_moves
Unown,201,Psychic ,Symbol Pokémon,1?8? (0.51m),11 lbs (5.0 kg),Levitate,061 (Gold/Silver)114 (Diamond/Pearl)114 (Platinum)061 (HeartGold/SoulSilver),Annon,"1 Attack, 1 Special Attack ","225 (29.4% with PokéBall, full HP)",70 (normal),61,Medium Fast,Undiscovered ,Genderless,"40 (base 10,240 steps)",336,48,72,48,72,48,48,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', ''), ('Ice', ''), ('Fig', '½'), ('Poi', ''), ('Gro', '0'), ('Fly', ''), ('Psy', '½'), ('Bug', '2'), ('Roc', ''), ('Gho', '2'), ('Dra', ''), ('Dar', '2'), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('Hidden Power', '1')])",OrderedDict(),,"OrderedDict([('Hidden Power', '10')])"
Wobbuffet,202,Psychic ,Patient Pokémon,4?3? (1.30m),62.8 lbs (28.5 kg),Shadow TagTelepathy (hidden ability),107 (Gold/Silver)161 (Ruby/Sapphire)108 (HeartGold/SoulSilver)119 (X/Y)168 (Omega Ruby/Alpha Sapphire),Sonansu,2 HP ,"45 (5.9% with PokéBall, full HP)",70 (normal),177,Medium Fast,Amorphous ,"50% male, 50% female","20 (base 5,120 steps)",405,190,33,58,33,58,33,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', ''), ('Ice', ''), ('Fig', '½'), ('Poi', ''), ('Gro', ''), ('Fly', ''), ('Psy', '½'), ('Bug', '2'), ('Roc', ''), ('Gho', '2'), ('Dra', ''), ('Dar', '2'), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('Counter', '1'), ('Destiny Bond', '1'), ('Mirror Coat', '1'), ('Safeguard', '1')])",OrderedDict(),,"OrderedDict([('Safeguard', '20')])"
Girafarig,203,Normal Psychic ,Long Neck Pokémon,4?11? (1.50m),91.5 lbs (41.5 kg),Early BirdInner FocusSap Sipper (hidden ability),147 (Gold/Silver)164 (Ruby/Sapphire)121 (Diamond/Pearl)121 (Platinum)149 (HeartGold/SoulSilver)171 (Omega Ruby/Alpha Sapphire),Kirinriki,2 Special Attack ,"60 (7.8% with PokéBall, full HP)",70 (normal),149,Medium Fast,Field ,"50% male, 50% female","20 (base 5,120 steps)",455,70,80,65,90,65,85,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', ''), ('Ice', ''), ('Fig', ''), ('Poi', ''), ('Gro', ''), ('Fly', ''), ('Psy', '½'), ('Bug', '2'), ('Roc', ''), ('Gho', '0'), ('Dra', ''), ('Dar', '2'), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('Astonish', '1'), ('Confusion', '1'), ('Growl', '1'), ('Guard Swap', '1'), ('Power Swap', '1'), ('Tackle', '1'), ('Odor Sleuth', '5'), ('Assurance', '10'), ('Stomp', '14'), ('Psybeam', '19'), ('Agility', '23'), ('Double Hit', '28'), ('Zen Headbutt', '32'), ('Crunch', '37'), ('Baton Pass', '41'), ('Nasty Plot', '46'), ('Psychic', '50')])","OrderedDict([('Amnesia', 'Psychic'), ('Beat Up', 'Dark'), ('Double Kick', 'Fighting'), ('Foresight', 'Normal'), ('Future Sight', 'Psychic'), ('Magic Coat', 'Psychic'), ('Mean Look', 'Normal'), ('Mirror Coat', 'Psychic'), ('Psychic Fangs', 'Psychic'), ('Psychic Terrain', 'Psychic'), ('Razor Wind', 'Normal'), ('Secret Power', 'Normal'), ('Skill Swap', 'Psychic'), ('Take Down', 'Normal'), ('Wish', 'Normal')])","OrderedDict([('Ally Switch', 'Psychic'), ('Foul Play', 'Dark'), ('Gravity', 'Psychic'), ('Hyper Voice', 'Normal'), ('Iron Tail', 'Steel'), ('Magic Coat', 'Psychic'), ('Recycle', 'Normal'), ('Shock Wave', 'Electric'), ('Signal Beam', 'Bug'), ('Skill Swap', 'Psychic'), ('Snore', 'Normal'), ('Stomping Tantrum', 'Ground'), ('Telekinesis', 'Psychic'), ('Trick', 'Psychic'), ('Uproar', 'Normal'), ('Zen Headbutt', 'Psychic')])","OrderedDict([('Work Up', '1'), ('Psyshock', '3'), ('Calm Mind', '4'), ('Toxic', '6'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Light Screen', '16'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Earthquake', '26'), ('Return', '27'), ('Psychic', '29'), ('Shadow Ball', '30'), ('Double Team', '32'), ('Reflect', '33'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Echoed Voice', '49'), ('Energy Ball', '53'), ('Charge Beam', '57'), ('Thunder Wave', '73'), ('Psych Up', '77'), ('Bulldoze', '78'), ('Dream Eater', '85'), ('Grass Knot', '86'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Trick Room', '92'), ('Dazzling Gleam', '99'), ('Confide', '100')])"
Pineco,204,Bug ,Bagworm Pokémon,2?0? (0.61m),15.9 lbs (7.2 kg),SturdyOvercoat (hidden ability),093 (Gold/Silver)093 (HeartGold/SoulSilver)268 (Ultra Sun/Ultra Moon)089 (Ultra Sun/Ultra Moon),Kunugidama,1 Defense ,"190 (24.8% with PokéBall, full HP)",70 (normal),60,Medium Fast,Bug ,"50% male, 50% female","20 (base 5,120 steps)",290,50,65,90,35,35,15,"OrderedDict([('Nor', ''), ('Fir', '2'), ('Wat', ''), ('Ele', ''), ('Gra', '½'), ('Ice', ''), ('Fig', '½'), ('Poi', ''), ('Gro', '½'), ('Fly', '2'), ('Psy', ''), ('Bug', ''), ('Roc', '2'), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('Protect', '1'), ('Tackle', '1'), ('Self-Destruct', '6'), ('Bug Bite', '9'), ('Take Down', '12'), ('Rapid Spin', '17'), ('Bide', '20'), ('Natural Gift', '23'), ('Spikes', '28'), ('Payback', '31'), ('Explosion', '34'), ('Iron Defense', '39'), ('Gyro Ball', '42'), ('Double-Edge', '45')])","OrderedDict([('Counter', 'Fighting'), ('Double-Edge', 'Normal'), ('Endure', 'Normal'), ('Flail', 'Normal'), ('Pin Missile', 'Bug'), ('Power Trick', 'Psychic'), ('Revenge', 'Fighting'), ('Sand Tomb', 'Ground'), ('Stealth Rock', 'Rock'), ('Swift', 'Normal'), ('Toxic Spikes', 'Poison')])","OrderedDict([('Bug Bite', 'Bug'), ('Drill Run', 'Ground'), ('Giga Drain', 'Grass'), ('Gravity', 'Psychic'), ('Iron Defense', 'Steel'), ('Pain Split', 'Normal'), ('Snore', 'Normal'), ('Stealth Rock', 'Rock')])","OrderedDict([('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Light Screen', '16'), ('Protect', '17'), ('Frustration', '21'), ('Solar Beam', '22'), ('Earthquake', '26'), ('Return', '27'), ('Double Team', '32'), ('Reflect', '33'), ('Sandstorm', '37'), ('Rock Tomb', '39'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Explosion', '64'), ('Payback', '66'), ('Gyro Ball', '74'), ('Bulldoze', '78'), ('Rock Slide', '80'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Confide', '100')])"
Forretress,205,Bug Steel ,Bagworm Pokémon,3?11? (1.19m),277.3 lbs (125.8 kg),SturdyOvercoat (hidden ability),094 (Gold/Silver)094 (HeartGold/SoulSilver)269 (Ultra Sun/Ultra Moon)090 (Ultra Sun/Ultra Moon),Foretosu,2 Defense ,"75 (9.8% with PokéBall, full HP)",70 (normal),118,Medium Fast,Bug ,"50% male, 50% female","20 (base 5,120 steps)",465,75,90,140,60,60,40,"OrderedDict([('Nor', '½'), ('Fir', '4'), ('Wat', ''), ('Ele', ''), ('Gra', '¼'), ('Ice', '½'), ('Fig', ''), ('Poi', '0'), ('Gro', ''), ('Fly', ''), ('Psy', '½'), ('Bug', '½'), ('Roc', ''), ('Gho', ''), ('Dra', '½'), ('Dar', ''), ('Ste', '½'), ('Fai', '½')])","OrderedDict([('Autotomize', 'Steel'), ('Mirror Shot', 'Steel')])","OrderedDict([('Autotomize', '1'), ('Bug Bite', '9'), ('Heavy Slam', '64'), ('Magnet Rise', '56'), ('Mirror Shot', '1'), ('Protect', '1'), ('Self-Destruct', '6'), ('Tackle', '1'), ('Toxic Spikes', '1'), ('Zap Cannon', '60'), ('Take Down', '12'), ('Rapid Spin', '17'), ('Bide', '20'), ('Natural Gift', '23'), ('Spikes', '28'), ('Payback', '32'), ('Explosion', '36'), ('Iron Defense', '42'), ('Gyro Ball', '46'), ('Double-Edge', '50')])","OrderedDict([('Counter', 'Fighting'), ('Double-Edge', 'Normal'), ('Endure', 'Normal'), ('Flail', 'Normal'), ('Pin Missile', 'Bug'), ('Power Trick', 'Psychic'), ('Revenge', 'Fighting'), ('Sand Tomb', 'Ground'), ('Stealth Rock', 'Rock'), ('Swift', 'Normal'), ('Toxic Spikes', 'Poison')])","OrderedDict([('Ally Switch', 'Psychic'), ('Block', 'Normal'), ('Bug Bite', 'Bug'), ('Drill Run', 'Ground'), ('Giga Drain', 'Grass'), ('Gravity', 'Psychic'), ('Iron Defense', 'Steel'), ('Laser Focus', 'Normal'), ('Magnet Rise', 'Electric'), ('Pain Split', 'Normal'), ('Signal Beam', 'Bug'), ('Snore', 'Normal'), ('Stealth Rock', 'Rock'), ('Telekinesis', 'Psychic')])","OrderedDict([('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Hyper Beam', '15'), ('Light Screen', '16'), ('Protect', '17'), ('Frustration', '21'), ('Solar Beam', '22'), ('Earthquake', '26'), ('Return', '27'), ('Double Team', '32'), ('Reflect', '33'), ('Sandstorm', '37'), ('Rock Tomb', '39'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Explosion', '64'), ('Payback', '66'), ('Giga Impact', '68'), ('Rock Polish', '69'), ('Volt Switch', '72'), ('Gyro Ball', '74'), ('Bulldoze', '78'), ('Rock Slide', '80'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Flash Cannon', '91'), ('Confide', '100')])"
Dunsparce,206,Normal ,Land Snake Pokémon,4?11? (1.50m),30.9 lbs (14.0 kg),Run AwaySerene GraceRattled (hidden ability),052 (Gold/Silver)052 (HeartGold/SoulSilver)035 (Black 2/White 2)040 (X/Y)063 (Ultra Sun/Ultra Moon)063 (Ultra Sun/Ultra Moon),Nokotchi,1 HP ,"190 (24.8% with PokéBall, full HP)",70 (normal),125,Medium Fast,Field ,"50% male, 50% female","20 (base 5,120 steps)",415,100,70,70,65,65,45,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', ''), ('Ice', ''), ('Fig', '2'), ('Poi', ''), ('Gro', ''), ('Fly', ''), ('Psy', ''), ('Bug', ''), ('Roc', ''), ('Gho', '0'), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('Defense Curl', '1'), ('Rage', '1'), ('Rollout', '3'), ('Spite', '6'), ('Pursuit', '8'), ('Screech', '11'), ('Mud-Slap', '13'), ('Yawn', '16'), ('Ancient Power', '18'), ('Body Slam', '21'), ('Drill Run', '23'), ('Roost', '26'), ('Take Down', '28'), ('Coil', '31'), ('Dig', '33'), ('Glare', '36'), ('Double-Edge', '38'), ('Endeavor', '41'), ('Air Slash', '43'), ('Dragon Rush', '46'), ('Endure', '48'), ('Flail', '51')])","OrderedDict([('Agility', 'Psychic'), ('Ancient Power', 'Rock'), ('Astonish', 'Ghost'), ('Bide', 'Normal'), ('Bite', 'Dark'), ('Curse', 'Ghost'), ('Headbutt', 'Normal'), ('Hex', 'Ghost'), ('Magic Coat', 'Psychic'), ('Secret Power', 'Normal'), ('Sleep Talk', 'Normal'), ('Snore', 'Normal'), ('Trump Card', 'Normal')])","OrderedDict([('Aqua Tail', 'Water'), ('Bind', 'Normal'), ('Drill Run', 'Ground'), ('Endeavor', 'Normal'), ('Iron Tail', 'Steel'), ('Last Resort', 'Normal'), ('Magic Coat', 'Psychic'), ('Pain Split', 'Normal'), ('Shock Wave', 'Electric'), ('Snore', 'Normal'), ('Spite', 'Ghost'), ('Stealth Rock', 'Rock'), ('Stomping Tantrum', 'Ground'), ('Water Pulse', 'Water'), ('Zen Headbutt', 'Psychic')])","OrderedDict([('Calm Mind', '4'), ('Toxic', '6'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Ice Beam', '13'), ('Blizzard', '14'), ('Protect', '17'), ('Rain Dance', '18'), ('Roost', '19'), ('Frustration', '21'), ('Solar Beam', '22'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Earthquake', '26'), ('Return', '27'), ('Shadow Ball', '30'), ('Double Team', '32'), ('Flamethrower', '35'), ('Fire Blast', '38'), ('Rock Tomb', '39'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Charge Beam', '57'), ('Thunder Wave', '73'), ('Gyro Ball', '74'), ('Psych Up', '77'), ('Bulldoze', '78'), ('Rock Slide', '80'), ('Poison Jab', '84'), ('Dream Eater', '85'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Wild Charge', '93'), ('Confide', '100')])"
Gligar,207,Ground Flying ,FlyScorpion Pokémon,3?7? (1.09m),142.9 lbs (64.8 kg),Hyper CutterSand VeilImmunity (hidden ability),189 (Gold/Silver)153 (Platinum)193 (HeartGold/SoulSilver)221 (Black 2/White 2)115 (X/Y),Guraiga,1 Defense ,"60 (7.8% with PokéBall, full HP)",70 (normal),108,Medium Slow,Bug ,"50% male, 50% female","20 (base 5,120 steps)",430,65,75,105,35,65,85,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', '2'), ('Ele', '0'), ('Gra', ''), ('Ice', '4'), ('Fig', '½'), ('Poi', '½'), ('Gro', '0'), ('Fly', ''), ('Psy', ''), ('Bug', '½'), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('Poison Sting', '1'), ('Sand Attack', '4'), ('Harden', '7'), ('Knock Off', '10'), ('Quick Attack', '13'), ('Fury Cutter', '16'), ('Feint Attack', '19'), ('Acrobatics', '22'), ('Slash', '27'), ('U-turn', '30'), ('Screech', '35'), ('X-Scissor', '40'), ('Sky Uppercut', '45'), ('Swords Dance', '50'), ('Guillotine', '55')])","OrderedDict([('Agility', 'Psychic'), ('Baton Pass', 'Normal'), ('Counter', 'Fighting'), ('Cross Poison', 'Poison'), ('Double-Edge', 'Normal'), ('Feint', 'Normal'), ('Metal Claw', 'Steel'), ('Night Slash', 'Dark'), ('Poison Tail', 'Poison'), ('Power Trick', 'Psychic'), ('Razor Wind', 'Normal'), ('Rock Climb', 'Normal'), ('Sand Tomb', 'Ground'), ('Wing Attack', 'Flying')])","OrderedDict([('Aqua Tail', 'Water'), ('Bug Bite', 'Bug'), ('Defog', 'Flying'), ('Earth Power', 'Ground'), ('Iron Tail', 'Steel'), ('Knock Off', 'Dark'), ('Snore', 'Normal'), ('Stealth Rock', 'Rock'), ('Tailwind', 'Flying'), ('Throat Chop', 'Dark')])","OrderedDict([('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Taunt', '12'), ('Protect', '17'), ('Rain Dance', '18'), ('Roost', '19'), ('Frustration', '21'), ('Earthquake', '26'), ('Return', '27'), ('Brick Break', '31'), ('Double Team', '32'), ('Sludge Bomb', '36'), ('Sandstorm', '37'), ('Rock Tomb', '39'), ('Aerial Ace', '40'), ('Torment', '41'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Steel Wing', '51'), ('False Swipe', '54'), ('Fling', '56'), ('Acrobatics', '62'), ('Payback', '66'), ('Rock Polish', '69'), ('Stone Edge', '71'), ('Swords Dance', '75'), ('Bulldoze', '78'), ('Rock Slide', '80'), ('X-Scissor', '81'), ('Poison Jab', '84'), ('Swagger', '87'), ('Sleep Talk', '88'), ('U-turn', '89'), ('Substitute', '90'), ('Dark Pulse', '97'), ('Confide', '100')])"
Steelix,208,Steel Ground ,Iron Snake Pokémon,30?2? (9.19m),881.8 lbs (400.0 kg),Rock HeadSturdySheer Force (hidden ability),063 (Gold/Silver)035 (Diamond/Pearl)035 (Platinum)063 (HeartGold/SoulSilver)072 (Black 2/White 2)054 (X/Y),Haganeru,2 Defense ,"25 (3.3% with PokéBall, full HP)",70 (normal),196,Medium Fast,Mineral ,"50% male, 50% female","25 (base 6,400 steps)",510,75,85,200,55,65,30,"OrderedDict([('Nor', '½'), ('Fir', '2'), ('Wat', '2'), ('Ele', '0'), ('Gra', ''), ('Ice', ''), ('Fig', '2'), ('Poi', '0'), ('Gro', '2'), ('Fly', '½'), ('Psy', '½'), ('Bug', '½'), ('Roc', '¼'), ('Gho', ''), ('Dra', '½'), ('Dar', ''), ('Ste', '½'), ('Fai', '½')])",OrderedDict(),"OrderedDict([('Bind', '1'), ('Fire Fang', '1'), ('Harden', '1'), ('Ice Fang', '1'), ('Mud Sport', '1'), ('Tackle', '1'), ('Thunder Fang', '1'), ('Curse', '4'), ('Rock Throw', '7'), ('Rock Tomb', '10'), ('Rage', '13'), ('Stealth Rock', '16'), ('Autotomize', '19'), ('Gyro Ball', '20'), ('Smack Down', '22'), ('Dragon Breath', '25'), ('Slam', '28'), ('Screech', '31'), ('Rock Slide', '34'), ('Crunch', '37'), ('Iron Tail', '40'), ('Dig', '43'), ('Stone Edge', '46'), ('Double-Edge', '49'), ('Sandstorm', '52')])","OrderedDict([('Block', 'Normal'), ('Defense Curl', 'Normal'), ('Flail', 'Normal'), ('Heavy Slam', 'Steel'), ('Rock Blast', 'Rock'), ('Rock Climb', 'Normal'), ('Rollout', 'Rock'), ('Rototiller', 'Ground'), ('Stealth Rock', 'Rock'), ('Wide Guard', 'Rock')])","OrderedDict([('Aqua Tail', 'Water'), ('Bind', 'Normal'), ('Block', 'Normal'), ('Dragon Pulse', 'Dragon'), ('Earth Power', 'Ground'), ('Iron Head', 'Steel'), ('Iron Tail', 'Steel'), ('Magnet Rise', 'Electric'), ('Snore', 'Normal'), ('Stealth Rock', 'Rock'), ('Stomping Tantrum', 'Ground')])","OrderedDict([('Roar', '5'), ('Toxic', '6'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Taunt', '12'), ('Hyper Beam', '15'), ('Protect', '17'), ('Frustration', '21'), ('Smack Down', '23'), ('Earthquake', '26'), ('Return', '27'), ('Double Team', '32'), ('Sandstorm', '37'), ('Rock Tomb', '39'), ('Torment', '41'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Brutal Swing', '59'), ('Explosion', '64'), ('Payback', '66'), ('Giga Impact', '68'), ('Rock Polish', '69'), ('Stone Edge', '71'), ('Gyro Ball', '74'), ('Psych Up', '77'), ('Bulldoze', '78'), ('Rock Slide', '80'), ('Dragon Tail', '82'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Flash Cannon', '91'), ('Nature Power', '96'), ('Dark Pulse', '97'), ('Confide', '100')])"
Snubbull,209,Fairy ,Fairy Pokémon,2?0? (0.61m),17.2 lbs (7.8 kg),IntimidateRun AwayRattled (hidden ability),123 (Gold/Silver)125 (HeartGold/SoulSilver)071 (X/Y)258 (Sun/Moon)339 (Ultra Sun/Ultra Moon)086 (Ultra Sun/Ultra Moon),Buru,1 Attack ,"190 (24.8% with PokéBall, full HP)",70 (normal),63,Fast,"Fairy, Field ","25% male, 75% female","20 (base 5,120 steps)",300,60,80,50,40,40,30,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', ''), ('Ice', ''), ('Fig', '½'), ('Poi', '2'), ('Gro', ''), ('Fly', ''), ('Psy', ''), ('Bug', '½'), ('Roc', ''), ('Gho', ''), ('Dra', '0'), ('Dar', '½'), ('Ste', '2'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Charm', '1'), ('Fire Fang', '1'), ('Ice Fang', '1'), ('Scary Face', '1'), ('Tackle', '1'), ('Tail Whip', '1'), ('Thunder Fang', '1'), ('Bite', '7'), ('Lick', '13'), ('Headbutt', '19'), ('Roar', '25'), ('Rage', '31'), ('Play Rough', '37'), ('Payback', '43'), ('Crunch', '49')])","OrderedDict([('Close Combat', 'Fighting'), ('Crunch', 'Dark'), ('Double-Edge', 'Normal'), ('Fake Tears', 'Dark'), ('Feint Attack', 'Dark'), ('Fire Fang', 'Fire'), ('Focus Punch', 'Fighting'), ('Heal Bell', 'Normal'), ('Ice Fang', 'Ice'), ('Metronome', 'Normal'), ('Mimic', 'Normal'), ('Present', 'Normal'), ('Smelling Salts', 'Normal'), ('Snore', 'Normal'), ('Thunder Fang', 'Electric')])","OrderedDict([('Covet', 'Normal'), ('Fire Punch', 'Fire'), ('Focus Punch', 'Fighting'), ('Heal Bell', 'Normal'), ('Hyper Voice', 'Normal'), ('Ice Punch', 'Ice'), ('Last Resort', 'Normal'), ('Low Kick', 'Fighting'), ('Shock Wave', 'Electric'), ('Snore', 'Normal'), ('Super Fang', 'Normal'), ('Superpower', 'Fighting'), ('Thunder Punch', 'Electric'), ('Water Pulse', 'Water')])","OrderedDict([('Work Up', '1'), ('Roar', '5'), ('Toxic', '6'), ('Bulk Up', '8'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Taunt', '12'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Solar Beam', '22'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Earthquake', '26'), ('Return', '27'), ('Shadow Ball', '30'), ('Brick Break', '31'), ('Double Team', '32'), ('Reflect', '33'), ('Flamethrower', '35'), ('Sludge Bomb', '36'), ('Fire Blast', '38'), ('Torment', '41'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Overheat', '50'), ('Fling', '56'), ('Payback', '66'), ('Thunder Wave', '73'), ('Bulldoze', '78'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Wild Charge', '93'), ('Snarl', '95'), ('Dazzling Gleam', '99'), ('Confide', '100')])"
Granbull,210,Fairy ,Fairy Pokémon,4?7? (1.40m),107.4 lbs (48.7 kg),IntimidateQuick FeetRattled (hidden ability),124 (Gold/Silver)126 (HeartGold/SoulSilver)072 (X/Y)259 (Sun/Moon)340 (Ultra Sun/Ultra Moon)087 (Ultra Sun/Ultra Moon),Guranburu,2 Attack ,"75 (9.8% with PokéBall, full HP)",70 (normal),178,Fast,"Fairy, Field ","25% male, 75% female","20 (base 5,120 steps)",450,90,120,75,60,60,45,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', ''), ('Ice', ''), ('Fig', '½'), ('Poi', '2'), ('Gro', ''), ('Fly', ''), ('Psy', ''), ('Bug', '½'), ('Roc', ''), ('Gho', ''), ('Dra', '0'), ('Dar', '½'), ('Ste', '2'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Charm', '1'), ('Fire Fang', '1'), ('Ice Fang', '1'), ('Outrage', '67'), ('Scary Face', '1'), ('Tackle', '1'), ('Tail Whip', '1'), ('Thunder Fang', '1'), ('Bite', '7'), ('Lick', '13'), ('Headbutt', '19'), ('Roar', '27'), ('Rage', '35'), ('Play Rough', '43'), ('Payback', '51'), ('Crunch', '59')])","OrderedDict([('Close Combat', 'Fighting'), ('Crunch', 'Dark'), ('Double-Edge', 'Normal'), ('Fake Tears', 'Dark'), ('Feint Attack', 'Dark'), ('Fire Fang', 'Fire'), ('Focus Punch', 'Fighting'), ('Heal Bell', 'Normal'), ('Ice Fang', 'Ice'), ('Metronome', 'Normal'), ('Mimic', 'Normal'), ('Present', 'Normal'), ('Smelling Salts', 'Normal'), ('Snore', 'Normal'), ('Thunder Fang', 'Electric')])","OrderedDict([('Covet', 'Normal'), ('Fire Punch', 'Fire'), ('Focus Punch', 'Fighting'), ('Heal Bell', 'Normal'), ('Hyper Voice', 'Normal'), ('Ice Punch', 'Ice'), ('Iron Tail', 'Steel'), ('Last Resort', 'Normal'), ('Low Kick', 'Fighting'), ('Outrage', 'Dragon'), ('Shock Wave', 'Electric'), ('Snore', 'Normal'), ('Stomping Tantrum', 'Ground'), ('Super Fang', 'Normal'), ('Superpower', 'Fighting'), ('Thunder Punch', 'Electric'), ('Water Pulse', 'Water')])","OrderedDict([('Work Up', '1'), ('Roar', '5'), ('Toxic', '6'), ('Bulk Up', '8'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Taunt', '12'), ('Hyper Beam', '15'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Solar Beam', '22'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Earthquake', '26'), ('Return', '27'), ('Shadow Ball', '30'), ('Brick Break', '31'), ('Double Team', '32'), ('Reflect', '33'), ('Flamethrower', '35'), ('Sludge Bomb', '36'), ('Fire Blast', '38'), ('Rock Tomb', '39'), ('Torment', '41'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Overheat', '50'), ('Focus Blast', '52'), ('Fling', '56'), ('Payback', '66'), ('Giga Impact', '68'), ('Stone Edge', '71'), ('Thunder Wave', '73'), ('Bulldoze', '78'), ('Rock Slide', '80'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Wild Charge', '93'), ('Snarl', '95'), ('Dazzling Gleam', '99'), ('Confide', '100')])"
